    101  !  (c)  2019  Oklahoma  Climatological  Survey  and  the  Oklahoma  Mesonet  -  all  rights  reserved
	21  2019  09  28  00  00  00
  STID    STNM    TIME      RELH      TAIR      WSPD      WVEC    WDIR      WDSD      WSSD      WMAX        RAIN          PRES    SRAD      TA9M      WS2M      TS10      TB10      TS05      TS25      TS60        TR05        TR25        TR60
   HOBA        46          0          40      10.4        4.6        4.6      191        2.7        0.2        5.1        0.00      957.41          3      12.0        2.1        5.6        8.1        7.0        5.3        7.2        1.66        1.44        1.42
  HOLD      134          0          43      10.1        3.0        2.9      214        5.7        0.3        3.9        0.00      980.33          1      12.3        1.9        6.2        8.2        6.8        5.1        6.7        1.44        1.38        1.47
  HOLL        47          0          26      13.1        4.8        4.8      210        2.8        0.2        5.5        0.00      954.56          7      14.5        3.1        8.1        9.0        9.5        6.3        8.4        2.43        2.45        1.83
  HOOK        48          0          31        9.9        4.2        4.2      203        3.5        0.2        4.8        0.00      904.43          7      11.4        2.2        3.1        4.2        4.1        3.0        4.0        1.74        1.51        1.68
  HUGO        49          0          35      12.3        0.5        0.5      224      15.3        0.1        0.7        0.00      993.96          1      13.3        0.4        8.2        9.2        9.1        7.4      -998        1.36        1.37        -998
  IDAB        50          0          47      10.8        1.1        1.1      266        4.5        0.1        1.4        0.25    1001.94          1      13.3        0.5        9.3      11.5        9.9        8.0      -998        1.45        1.35        -998
  INOL      120          0          66        5.1        3.2        3.2      174        1.2        0.1        3.4        0.00      990.26          1        9.3        1.7        4.1        6.0        4.1        3.0        5.9        1.47        1.41        1.46
  JAYX        51          0          45        8.9        1.5        1.5      214      14.1        0.5        2.6        0.00      976.56          0        9.3        1.0        4.9        6.9        5.0        4.9      -998        1.42        1.33        -998
  KENT        52          0          32        7.4        4.3        4.3      185        2.6        0.2        4.8        0.00      861.36        10        9.3        2.0        3.0        4.7        3.7        2.4      -998        1.72        1.93        -998
  KETC        53          0          41      10.5        3.3        3.3      213        4.3        0.2        4.0        0.00      973.57          3      12.2        1.8        7.5        9.4        8.5        6.9        8.2        1.44        1.39        1.52
  KIN2      133          0          51        9.6        5.1        5.1      195        3.2        0.3        6.0        0.00      973.40          2      11.5        3.1        6.7        8.6        7.2        6.2        7.3        1.56        1.56        1.39
  LAHO        55          0          45      10.5        4.4        4.4      191        5.4        0.3        5.2        0.00      963.50          2      12.2        2.0        5.4        5.9        5.5        4.7        6.4        1.56        1.50        1.45
  LANE        56          0          37      12.2        1.4        1.4      215        4.9        0.1        1.7        0.00      992.81          2      14.0        1.2        8.1        8.7        7.8        6.9        7.8        -999        1.40        1.41
  MADI        57          0          38      12.1        2.4        2.3      234        6.5        0.3        3.1        0.00      987.17          3      13.3        1.4        7.8        8.8        8.3      -998      -998        1.61        -998        -998
  MANG        58          0          31      12.6        3.3        3.3      182        6.5        0.4        4.5        0.00      958.73          5      14.1        1.9        8.6      10.2      10.2        7.2      -998        -999        -999        -998
  MARE        59          0          40      11.4        3.6        3.6      190        4.7        0.3        4.3        0.00      972.77          1      12.7        2.1        6.0        7.2        6.2        5.4        6.9        1.52        1.49        1.58
   MAYR        61          0          25      13.2        6.0        5.9      226        7.3        0.7        7.5        0.00      943.86          2      13.8        4.2        5.4        5.6        5.4        4.3        5.8        1.59        1.60        1.48
  MCAL        62          0          48        9.1        1.0        0.9      198        7.7        0.2        1.2        0.00      986.70          1      12.4        0.0        7.7        8.6      -999        6.6      -998        1.33        1.39        -998
  MEDF        63          0          45      11.4        4.7        4.7      185        4.9        0.4        5.6        0.00      970.34          1      12.1        3.2        4.4        6.6        4.9      -998      -998        1.48        -998        -998
  MEDI        64          0          37      10.4        4.1        4.1      205        4.6        0.3        5.0        0.00      956.30          3      12.1        1.9        7.4        8.4        7.7        6.2      -998        1.45        1.48        -998
  MIAM        65          0          56        8.0        3.6        3.6      183        6.9        0.4        4.3        0.00      982.64          0        8.7        2.4        4.7        6.4        4.7        4.1        6.1        1.31        1.59        1.45
  MINC        66          0          43      10.5        4.2        4.2      190        6.7        0.5        5.5        0.00      962.13          2      11.4        3.0        7.8        8.6        8.3        6.0      -998        1.93        1.62        -998
  MRSH      125          0          40      11.3        4.0        3.9      184        6.1        0.3        4.8        0.00      974.10          2      12.6        2.3        5.6        7.4        6.1        5.0      -998        1.43        1.41        -998
  MTHE        67          0          46        9.0        0.2        0.2      148      18.3        0.1        0.5        0.25      980.94          1      10.6        0.0        8.3        9.1        8.3      -998      -998        1.51        -998        -998
  NEWK        68          0          47      10.1        4.6        4.6      192        6.2        0.4        5.8        0.00      966.94          1      11.3        2.7        4.3        4.5        4.9        3.8        6.1        1.46        1.42        1.44
  NEWP      123          0          41      10.7        3.3        3.3      218        4.1        0.2        3.8        0.00      980.65          3      12.7        2.4        9.1        8.7        9.4      -998      -998        1.53        -998        -998
  NOWA        70          0          53        8.3        3.5        3.5      174        6.3        0.4        4.6        0.00      987.25          0        9.3        2.3        3.8        4.3        4.2        3.9        5.7        1.52        1.51        1.49
  NRMN      121          0          36      12.1        3.0        3.0      201        6.8        0.4        3.9        0.00      971.09          2      13.4        2.3        6.2        6.4        7.0        5.3        7.4        1.48        1.45        1.47
  OILT        71          0          39      11.2        2.9        2.9      177        7.5        0.4        3.8        0.00      981.79          1      12.2        2.1        5.8        6.6        6.3        4.6        6.1        1.65        1.61        1.62
  OKCE      130          0          33      12.9        2.3        2.3      199      13.3        0.6        3.5        0.00      970.68          2      13.5        1.8        6.5        8.0        7.9        5.5        6.1        1.79        1.67        1.48
  OKEM        72          0          44      10.1        3.0        3.0      197        4.0        0.2        3.5        0.00      981.97          1      11.9        1.8        6.1        7.1        6.9        5.3      -998        1.48        1.52        -998
  OKMU        73          0          43      10.8        2.0        2.0      188        8.8        0.5        3.0        0.00      988.79          1      12.4        1.1        5.7        7.9        6.2        5.4      -998        1.53        1.58        -998
	  PAUL        74          0          36      11.8        2.1        2.0      219        7.2        0.3        2.9        0.00      979.42          2      12.9        1.0        8.1        8.9        9.1        7.1        8.5        1.51        1.39        1.50
	  PAWN        75          0          44      10.6        4.3        4.3      184        4.2        0.4        5.7        0.00      977.87          1      12.1        2.5        6.0        6.6        6.6        4.8        6.8        1.53        1.49        1.61
	  PERK        76          0          46      10.9        4.2        4.2      190        4.0        0.3        4.9        0.00      977.26          1      12.8        2.8        6.9        7.6        7.1        5.2        6.6        1.50        1.52        1.35
	 PORT      118          0          45      10.0        2.6        2.6      174        1.8        0.1        2.8        0.00      990.27          1      11.3        1.5        5.8        8.3        5.8        5.6        6.8        1.47        1.39        1.57
	  PRYO        77          0          58        7.1        2.8        2.8      172        5.8        0.3        3.6        0.00      988.55          0        8.9        1.3        3.9        7.2        3.9        3.8      -998        1.55        1.37        -998
	   PUTN        78          0          27      12.2        6.4        6.4      210        6.8        0.8        9.1        0.00      942.46          3      13.1        4.3        5.4        7.0      -999        5.0        5.9        1.36        1.49        1.58
	  REDR        79          0          42      10.8        4.3        4.3      187        3.3        0.2        5.0        0.00      976.10          1      12.4        2.4        5.8        6.9        5.8        4.9        6.2        1.50        1.38        1.42
	   RING        81          0          41      12.0        2.4        2.3      211        3.7        0.2        2.8        0.00      980.92          3      13.0        1.6        7.1        8.8        7.8        7.0      -998        1.47        1.45        -998
	  SALL        82          0          59        7.9        0.9        0.9      178        5.9        0.1        1.1        0.00      995.15          0      10.8        0.0        6.2        7.9      -999        6.0        7.2        1.51        1.37        1.38
